team,assistor,assisted
MIL,20000850,20000502.0
MIL,20000500,20000519.0
DAL,20000527,20001909.0
MIL,20001909,20000502.0
DAL,20001909,20000629.0
DAL,20000629,20000483.0
DAL,20001826,20001732.0
DAL,20000629,20000539.0
MIL,20000497,20000500.0
DAL,20000629,20000483.0
DAL,20000531,20000629.0
DAL,20000534,20000539.0
DAL,20000531,20000527.0
DAL,20000531,20000539.0
MIL,20000534,20000500.0
MIL,20000531,20000519.0
MIL,20001701,20001013.0
DAL,20000531,20000527.0
DAL,20000531,20001732.0
DAL,20000531,20001477.0
MIL,20000497,20001701.0
DAL,20000850,20001826.0
DAL,20000629,20000483.0
DAL,20000502,20000483.0
DAL,20001701,20000483.0
DAL,20000502,20000629.0
DAL,20000497,20001826.0
DAL,20000500,20000534.0
DAL,20000497,20000527.0
DAL,20000527,20000531.0
DAL,20000629,20000531.0
DAL,20000531,20000527.0
DAL,20000502,20000527.0
MIL,20000483,20000519.0
DAL,20001826,20000629.0
MIL,20000850,20000519.0
DAL,20000497,20001826.0
MIL,20000629,20000497.0
MIL,20000850,20000500.0
DAL,20000629,20000531.0
MIL,20000850,20000497.0
MIL,20000531,20000850.0
MIL,20000483,20000850.0
MIL,20001667,20000519.0
MIL,20001732,20001667.0
DAL,20000497,20000539.0
DAL,20000629,20001826.0
DAL,20001732,20000629.0
MIL,20001826,20000850.0
MIL,20001013,20000500.0
DAL,20000527,20000531.0
MIL,20000500,20001667.0
DAL,20000527,20000534.0
MIL,20001013,20000500.0
DAL,20000629,20000483.0
DAL,20000483,20001732.0
DAL,20001700,20000481.0
DAL,20000716,20001732.0
MIL,20001428,20001700.0
DAL,20001922,20000716.0
BKN,20000838,20000601.0
GS,20000499,20000867.0
BKN,20000485,20001408.0
BKN,20000622,20000601.0
GS,20000499,20000485.0
BKN,20000485,20000622.0
GS,20000482,20000486.0
BKN,20000816,20000622.0
GS,20000485,20000715.0
BKN,20000601,20000584.0
GS,20000482,20000828.0
BKN,20001707,20000558.0
GS,20000828,20000485.0
BKN,20000934,20000787.0
GS,20001707,20000485.0
GS,20000485,20000715.0
GS,20000487,20000715.0
GS,20000584,20000487.0
GS,20000487,20000740.0
GS,20000740,20000487.0
GS,20000740,20000486.0
GS,20000487,20000486.0
GS,20000787,20000740.0
GS,20000488,20000486.0
BKN,20000482,20000601.0
BKN,20000485,20000816.0
BKN,20001707,20000601.0
GS,20000485,20001455.0
BKN,20001707,20000622.0
BKN,20000485,20000622.0
GS,20000485,20001455.0
GS,20000601,20000485.0
GS,20000482,20000485.0
BKN,20000816,20001408.0
GS,20000486,20000499.0
GS,20000499,20000482.0
BKN,20000816,20000622.0
GS,20000485,20000867.0
GS,20000499,20000867.0
BKN,20001408,20000622.0
BKN,20000601,20000816.0
GS,20000816,20000485.0
GS,20000485,20000867.0
BKN,20000486,20000816.0
GS,20000485,20000487.0
BKN,20000816,20001408.0
BKN,20001408,20000622.0
BKN,20001408,20000622.0
BKN,20001707,20000622.0
GS,20000828,20000485.0
BKN,20001408,20001707.0
GS,20000867,20000487.0
GS,20001707,20000485.0
BKN,20001408,20001707.0
GS,20000482,20000486.0
GS,20000482,20000486.0
BKN,20000816,20001837.0
BKN,20000816,20001837.0
GS,20000816,20000867.0
BKN,20000816,20001837.0
BKN,20000487,20001408.0
BKN,20000622,20000816.0
GS,20000622,20000867.0
GS,20000482,20000488.0
GS,20000482,20000486.0
BKN,20000601,20000622.0
GS,20000482,20000486.0
BKN,20000816,20000622.0
IND,20000863,20001424.0
IND,20000863,20001424.0
IND,20001401,20000863.0
MIA,20000849,20000904.0
IND,20000591,20000587.0
IND,20000863,20001424.0
MIA,20001401,20000849.0
MIA,20000689,20000849.0
IND,20000689,20000591.0
MIA,20000916,20000464.0
IND,20000689,20001424.0
MIA,20001424,20000464.0
IND,20000689,20001424.0
MIA,20000916,20000849.0
MIA,20000464,20000712.0
IND,20000591,20001683.0
MIA,20000564,20000464.0
MIA,20000464,20000712.0
MIA,20000591,20000564.0
IND,20000863,20000591.0
MIA,20001401,20000712.0
MIA,20000464,20000712.0
MIA,20000890,20001401.0
IND,20000564,20000587.0
MIA,20000689,20000564.0
IND,20000655,20000689.0
IND,20001424,20000587.0
IND,20001400,20000689.0
MIA,20001400,20000904.0
IND,20001424,20000587.0
MIA,20000916,20000904.0
IND,20000863,20001424.0
MIA,20000464,20001400.0
IND,20000655,20001424.0
IND,20000655,20001424.0
IND,20000863,20000587.0
IND,20000689,20000591.0
MIA,20000849,20001400.0
IND,20001424,20000689.0
IND,20000863,20000591.0
MIA,20000591,20001401.0
IND,20000587,20000863.0
IND,20000587,20000591.0
IND,20000587,20000591.0
IND,20000863,20001424.0
